restaurant,city,menu_type,category,dish,price,description,tags
Baylings,Leeuwarden,Lunch,Plates,Gegrilde kipfilet,"19,75",mals gebakken kipfilet met een jus of aioli,
Baylings,Leeuwarden,Lunch,Plates,Gegrilde biefstuk(200gr),"22,95",perfect gebakken biefstuk met een huisgemaakte peperjus,
Baylings,Leeuwarden,Dinner,Koud,Broodplank,"7,25",met kruidenboter en aioli,
Baylings,Leeuwarden,Dinner,Koud,Baylings dips,"12,25",5 soorten dips geserveerd met brood,
Baylings,Leeuwarden,Dinner,Koud,Runder carpaccio,"12,75",truffelmayonaise of pesto/zongedroogde tomaat/Parmezaanse kaas/rucola/pijnboompitten,
Baylings,Leeuwarden,Dinner,Koud,Turfgerookte zalm,"12,75",tunnbröd/radijs/komkommer/kappertjes/bieslook/dragon citrus mayonaise,
Baylings,Leeuwarden,Dinner,Koud,Runder pastrami,"12,75",pickels/oude kaas/truffel mosterdmayonaise,
Baylings,Leeuwarden,Dinner,Koud,Caprese,"12,75",buffelmozzarella/tomaat/basilicum/olijfolie/pesto,
Baylings,Leeuwarden,Dinner,Koud,Salade gerookte kip,"11,75",parmezaanse kaas/tomaat/ei/avocado/kruidenmayonaise,
Baylings,Leeuwarden,Dinner,Koud,Salade pulled chicken,"11,75",rode ui/peterselie/punt paprika/chili-ketjapsaus,
Baylings,Leeuwarden,Dinner,Warm,Toscaanse tomatensoep,"8,50",pesto,
Baylings,Leeuwarden,Dinner,Warm,Thaise kippenbouillon,"8,50",noodles/taugé/peper/koriander/kip,
Baylings,Leeuwarden,Dinner,Warm,Mosterd soep,"8,50",gerookte zalm,
Baylings,Leeuwarden,Dinner,Warm,Gamba's,"13,50",knoflook/peterselie/bosui/rode peper/brood,
Baylings,Leeuwarden,Dinner,Warm,Geitenkaas,"12,75",appel/walnoot/rucola/gekarameliseerde uitjes/honing,
Baylings,Leeuwarden,Dinner,Warm,Albondigas,"12,75",(gehaktballetjes bereid op Spaanse wijze) licht pittige tomatensaus/peterselie/bosui,
Baylings,Leeuwarden,Dinner,Warm,Spicy chicken,"12,75",geserveerd met parelcouscous,
Baylings,Leeuwarden,Dinner,Warm,Starter proeverij (2p),"21,95",proeverij van diverse warme en koude voorgerechten,
Baylings,Leeuwarden,Dinner,Vlees,Gebakken lamshaas,"33,50",rode wijnjus/seizoensgroenten,
Baylings,Leeuwarden,Dinner,Vlees,Baylings Biefstuk,"29,95",diamanthaas/truffeljus/seizoensgroenten,
Baylings,Leeuwarden,Dinner,Vlees,Pollo formaggio,"25,95",Ovengebakken kipfilet/gesmolten kaas/knoflook/oregano,
Baylings,Leeuwarden,Dinner,Vlees,Bayling mixed grill,"35,45",steak/burger/kipfilet/lamshaas/gebakken garnituur/aioli,
Baylings,Leeuwarden,Dinner,Vlees,Kalfs Entrecote,"29,75",kruidenboter,
Baylings,Leeuwarden,Dinner,Vlees,Oosterse Kebab,"33,50",gegrilde lamshaas aan de spies/gemarineerd op traditionele wijze/huisgemaakte couscous,
